metabolite,mean,std
Cholesterol to Total Lipids in Medium LDL percentage,68.42604255680517,1.6417838480239553
Cholesteryl Esters to Total Lipids in Medium LDL percentage,49.25362528906851,1.8772933927164008
Free Cholesterol to Total Lipids in Medium LDL percentage,19.172416972162065,1.9113177813235485
Triglycerides to Total Lipids in Medium LDL percentage,5.453240442559791,1.5566608228006695
Phospholipids to Total Lipids in Small LDL percentage,31.16595350100948,1.7243056921290432
Cholesterol to Total Lipids in Small LDL percentage,63.27234098477064,1.9628111394218013
Cholesteryl Esters to Total Lipids in Small LDL percentage,45.97474987952564,2.0302476863771
Free Cholesterol to Total Lipids in Small LDL percentage,17.297590158546907,1.976649834416968
Triglycerides to Total Lipids in Small LDL percentage,5.56170439803812,1.8075802542304769
Phospholipids to Total Lipids in Very Large HDL percentage,43.97318446386722,7.185787990095416
Cholesterol to Total Lipids in Very Large HDL percentage,50.44917703100413,5.232581138685465
Cholesteryl Esters to Total Lipids in Very Large HDL percentage,35.12664686244896,3.64558930308742
Free Cholesterol to Total Lipids in Very Large HDL percentage,15.322530442553813,3.807164352426825
Triglycerides to Total Lipids in Very Large HDL percentage,5.577638711222228,4.169045562214454
Phospholipids to Total Lipids in Large HDL percentage,50.744152785509264,3.132386845461734
Cholesterol to Total Lipids in Large HDL percentage,43.50910846862612,5.738413001743276
Cholesteryl Esters to Total Lipids in Large HDL percentage,33.58345490202431,4.975642650500494
Free Cholesterol to Total Lipids in Large HDL percentage,9.925653737218518,1.2021518296200433
Triglycerides to Total Lipids in Large HDL percentage,5.746738389762141,3.470583313935339
Phospholipids to Total Lipids in Medium HDL percentage,47.12543694896807,1.2966660772553475
Cholesterol to Total Lipids in Medium HDL percentage,47.45860776387466,3.0005738768903543
Cholesteryl Esters to Total Lipids in Medium HDL percentage,39.13285916186197,2.632106233321915
Free Cholesterol to Total Lipids in Medium HDL percentage,8.325748349548379,0.6745079573811503
Triglycerides to Total Lipids in Medium HDL percentage,5.415955165744447,1.8450691331536824
Phospholipids to Total Lipids in Small HDL percentage,57.0235726480272,1.2207619572469517
Cholesterol to Total Lipids in Small HDL percentage,38.37177192894184,1.8775209454348745
Cholesteryl Esters to Total Lipids in Small HDL percentage,28.43948780726712,1.8727877125053505
Free Cholesterol to Total Lipids in Small HDL percentage,9.932283581085134,0.5274185016447183
Triglycerides to Total Lipids in Small HDL percentage,4.604655592176702,1.3251621424083313
